id,order_id,product_id,qty,item_price,unit_sales
10000,1,38,1,40000,40000
10001,2,24,1,130000,130000
10002,3,9,2,200000,400000
10003,3,12,1,200000,200000
10004,4,23,1,130000,130000
10005,4,10,2,200000,400000
10006,4,35,2,50000,100000
10007,4,19,2,200000,400000
10008,4,6,2,180000,360000
10009,5,11,3,200000,600000
10010,5,9,1,200000,200000
10011,5,14,1,450000,450000
10012,5,42,2,60000,120000
10013,5,34,1,50000,50000
10014,6,12,1,200000,200000
10015,7,2,1,190000,190000
10016,8,20,2,400000,800000
10017,9,8,2,180000,360000
10018,9,15,1,450000,450000
10019,10,9,1,200000,200000
10020,11,36,1,30000,30000
10021,11,3,1,190000,190000
10022,12,29,1,125000,125000
10023,13,25,3,130000,390000
10024,13,7,1,180000,180000
10025,13,16,1,250000,250000
10026,14,17,1,400000,400000
10027,14,7,3,180000,540000
10028,14,13,2,250000,500000
10029,14,10,1,200000,200000
10030,14,32,1,150000,150000
10031,15,23,1,130000,130000
10032,15,4,2,190000,380000
10033,15,13,1,250000,250000
10034,16,40,1,50000,50000
10035,17,22,1,500000,500000
10036,17,33,1,40000,40000
10037,17,28,1,125000,125000
10038,17,32,1,150000,150000
10039,18,11,2,200000,400000
10040,18,33,3,40000,120000
10041,18,5,1,180000,180000
10042,19,35,2,50000,100000
10043,19,6,2,180000,360000
10044,19,28,1,125000,125000
10045,20,43,1,50000,50000
10046,20,38,1,40000,40000
10047,20,1,1,190000,190000
10048,21,30,1,125000,125000
10049,21,35,2,50000,100000
10050,21,41,1,60000,60000
10051,21,1,1,190000,190000
10052,21,40,1,50000,50000
10053,22,21,1,500000,500000
10054,22,9,2,200000,400000
10055,22,34,2,50000,100000
10056,23,35,4,50000,200000
10057,23,20,2,400000,800000
10058,23,4,2,190000,380000
10059,24,14,1,450000,450000
10060,25,25,3,130000,390000
10061,25,35,1,50000,50000
10062,26,43,2,50000,100000
10063,26,43,1,50000,50000
10064,26,9,2,200000,400000
10065,26,28,1,125000,125000
10066,27,1,2,190000,380000
10067,27,27,1,125000,125000
10068,28,2,1,190000,190000
10069,29,3,1,190000,190000
10070,29,27,3,125000,375000
10071,29,5,1,180000,180000
10072,30,36,2,30000,60000
10073,30,8,1,180000,180000
10074,31,20,1,400000,400000
10075,31,17,1,400000,400000
10076,31,30,1,125000,125000
10077,32,8,2,180000,360000
10078,32,15,1,450000,450000
10079,32,17,1,400000,400000
10080,33,35,1,50000,50000
10081,34,25,1,130000,130000
10082,34,27,1,125000,125000
10083,35,18,1,200000,200000
10084,35,3,2,190000,380000
10085,35,28,1,125000,125000
10086,36,7,3,180000,540000
10087,36,24,2,130000,260000
10088,36,20,2,400000,800000
10089,36,6,2,180000,360000
10090,36,12,1,200000,200000
10091,37,14,2,450000,900000
10092,37,14,2,450000,900000
10093,38,23,1,130000,130000
10094,38,25,1,130000,130000
10095,38,5,1,180000,180000
10096,38,14,1,450000,450000
10097,39,17,1,400000,400000
10098,39,7,3,180000,540000
10099,39,6,2,180000,360000
10100,39,15,1,450000,450000
10101,39,40,1,50000,50000
10102,40,32,2,150000,300000
10103,40,9,1,200000,200000
10104,41,20,1,400000,400000
10105,41,40,1,50000,50000
10106,41,2,2,190000,380000
10107,42,3,2,190000,380000
10108,42,13,1,250000,250000
10109,43,5,1,180000,180000
10110,44,32,1,150000,150000
10111,44,30,3,125000,375000
10112,44,19,1,200000,200000
10113,44,25,1,130000,130000
10114,45,27,1,125000,125000
10115,46,41,2,60000,120000
10116,46,12,1,200000,200000
10117,47,25,1,130000,130000
10118,47,9,1,200000,200000
10119,48,35,1,50000,50000
10120,48,18,2,200000,400000
10121,48,11,1,200000,200000
10122,48,16,3,250000,750000
10123,49,27,2,125000,250000
10124,49,34,2,50000,100000
10125,49,35,1,50000,50000
10126,49,37,1,40000,40000
10127,49,29,1,125000,125000
10128,50,3,1,190000,190000
10129,50,22,1,500000,500000
10130,50,11,1,200000,200000
10131,51,23,2,130000,260000
10132,51,41,1,60000,60000
10133,51,21,1,500000,500000
10134,52,11,3,200000,600000
10135,52,4,2,190000,380000
10136,52,29,1,125000,125000
10137,52,28,2,125000,250000
10138,53,15,1,450000,450000
10139,53,25,1,130000,130000
10140,53,14,1,450000,450000
10141,54,17,3,400000,1200000
10142,54,4,2,190000,380000
10143,54,26,2,130000,260000
10144,55,25,4,130000,520000
10145,55,28,2,125000,250000
10146,56,34,1,50000,50000
10147,56,15,2,450000,900000
10148,56,18,3,200000,600000
10149,56,28,1,125000,125000
10150,56,13,1,250000,250000
10151,57,26,1,130000,130000
10152,57,35,1,50000,50000
10153,58,25,1,130000,130000
10154,59,7,2,180000,360000
10155,59,7,2,180000,360000
10156,59,6,1,180000,180000
10157,59,20,2,400000,800000
10158,60,39,1,30000,30000
10159,60,34,3,50000,150000
10160,61,30,2,125000,250000
10161,61,19,1,200000,200000
10162,61,2,3,190000,570000
10163,61,11,3,200000,600000
10164,62,24,1,130000,130000
10165,62,37,1,40000,40000
10166,63,27,1,125000,125000
10167,63,32,1,150000,150000
10168,64,4,1,190000,190000
10169,64,20,3,400000,1200000
10170,64,24,2,130000,260000
10171,64,12,2,200000,400000
10172,65,33,2,40000,80000
10173,65,11,1,200000,200000
10174,65,22,1,500000,500000
10175,66,24,2,130000,260000
10176,66,1,1,190000,190000
10177,66,21,1,500000,500000
10178,67,2,1,190000,190000
10179,68,41,1,60000,60000
10180,68,11,1,200000,200000
10181,69,36,1,30000,30000
10182,69,43,2,50000,100000
10183,70,37,1,40000,40000
10184,70,20,1,400000,400000
10185,71,28,1,125000,125000
10186,71,30,1,125000,125000
10187,72,27,2,125000,250000
10188,72,26,3,130000,390000
10189,72,30,3,125000,375000
10190,72,16,1,250000,250000
10191,72,7,1,180000,180000
10192,73,13,2,250000,500000
10193,73,32,2,150000,300000
10194,73,1,1,190000,190000
10195,74,34,1,50000,50000
10196,75,29,2,125000,250000
10197,76,11,1,200000,200000
10198,76,10,2,200000,400000
10199,76,7,1,180000,180000
10200,77,24,3,130000,390000
10201,77,27,3,125000,375000
10202,77,9,1,200000,200000
10203,78,13,1,250000,250000
10204,78,23,1,130000,130000
10205,79,35,1,50000,50000
10206,79,22,3,500000,1500000
10207,79,34,1,50000,50000
10208,80,2,1,190000,190000
10209,81,3,1,190000,190000
10210,81,34,1,50000,50000
10211,82,42,1,60000,60000
10212,82,38,5,40000,200000
10213,82,12,2,200000,400000
10214,82,17,2,400000,800000
10215,82,25,1,130000,130000
10216,83,8,2,180000,360000
10217,84,12,2,200000,400000
10218,85,7,1,180000,180000
10219,86,27,1,125000,125000
10220,86,13,2,250000,500000
10221,86,3,2,190000,380000
10222,86,15,1,450000,450000
10223,86,33,1,40000,40000
10224,86,4,1,190000,190000
10225,87,23,1,130000,130000
10226,88,29,1,125000,125000
10227,89,26,2,130000,260000
10228,89,16,2,250000,500000
10229,89,17,3,400000,1200000
10230,89,12,1,200000,200000
10231,89,6,1,180000,180000
10232,90,32,3,150000,450000
10233,90,18,1,200000,200000
10234,91,43,1,50000,50000
10235,91,27,1,125000,125000
10236,91,25,3,130000,390000
10237,91,41,1,60000,60000
10238,92,2,1,190000,190000
10239,93,39,1,30000,30000
10240,93,24,2,130000,260000
10241,93,3,1,190000,190000
10242,94,25,1,130000,130000
10243,95,18,3,200000,600000
10244,95,32,3,150000,450000
10245,95,37,2,40000,80000
10246,96,26,2,130000,260000
10247,96,19,3,200000,600000
10248,96,10,1,200000,200000
10249,96,22,1,500000,500000
10250,97,36,1,30000,30000
10251,97,43,2,50000,100000
10252,97,20,2,400000,800000
10253,97,35,1,50000,50000
10254,97,19,2,200000,400000
10255,97,4,1,190000,190000
10256,98,16,1,250000,250000
10257,98,30,1,125000,125000
10258,98,24,1,130000,130000
10259,98,30,1,125000,125000
10260,99,35,3,50000,150000
10261,99,1,1,190000,190000
10262,100,6,2,180000,360000
10263,100,41,3,60000,180000
10264,100,9,1,200000,200000
10265,101,30,2,125000,250000
10266,101,36,1,30000,30000
10267,101,40,1,50000,50000
10268,102,35,1,50000,50000
10269,102,34,1,50000,50000
10270,102,9,3,200000,600000
10271,102,23,2,130000,260000
10272,102,33,1,40000,40000
10273,103,35,3,50000,150000
10274,103,11,2,200000,400000
10275,103,26,2,130000,260000
10276,103,8,1,180000,180000
10277,103,26,3,130000,390000
10278,104,6,3,180000,540000
10279,104,7,1,180000,180000
10280,105,3,1,190000,190000
10281,106,30,3,125000,375000
10282,106,23,1,130000,130000
10283,106,24,3,130000,390000
10284,107,32,1,150000,150000
10285,108,11,1,200000,200000
10286,109,32,1,150000,150000
10287,109,28,3,125000,375000
10288,110,27,1,125000,125000
10289,110,12,1,200000,200000
10290,110,29,2,125000,250000
10291,111,35,1,50000,50000
10292,111,41,1,60000,60000
10293,111,22,1,500000,500000
10294,112,7,3,180000,540000
10295,112,11,2,200000,400000
10296,112,5,3,180000,540000
10297,112,26,2,130000,260000
10298,113,9,1,200000,200000
10299,113,8,2,180000,360000
10300,113,34,1,50000,50000
10301,113,28,2,125000,250000
10302,114,5,2,180000,360000
10303,115,9,2,200000,400000
10304,115,3,3,190000,570000
10305,115,9,2,200000,400000
10306,116,39,1,30000,30000
10307,116,40,2,50000,100000
10308,117,30,3,125000,375000
10309,117,1,2,190000,380000
10310,117,42,2,60000,120000
10311,117,7,2,180000,360000
10312,117,18,1,200000,200000
10313,118,39,1,30000,30000
10314,118,31,3,150000,450000
10315,118,27,1,125000,125000
10316,118,2,1,190000,190000
10317,119,17,2,400000,800000
