ID,ORDERID,PRODUCTID,QTY,UNITPRICE,PRICE
100000,100000000,3,2,7500,15000
100001,100000000,4,1,5625,5625
100002,100000000,5,1,1250,1250
100003,100000000,1,1,1875,1875
100004,100000001,2,1,9375,9375
100005,100000001,4,1,5625,5625
100006,100000002,3,3,7500,22500
100007,100000002,2,1,9375,9375
100008,100000002,4,1,5625,5625
100009,100000002,5,1,1250,1250
100010,100000003,3,3,7500,22500
100011,100000004,4,1,5625,5625
100012,100000005,3,3,7500,22500
100013,100000005,2,3,9375,28125
100014,100000005,5,1,1250,1250
100015,100000005,1,1,1875,1875
100016,100000005,1,2,1875,3750
100017,100000006,3,2,7500,15000
100018,100000006,2,1,9375,9375
100019,100000006,4,1,5625,5625
100020,100000007,3,3,7500,22500
100021,100000007,2,1,9375,9375
100022,100000007,4,2,5625,11250
100023,100000007,5,1,1250,1250
100024,100000007,1,2,1875,3750
100025,100000008,3,2,7500,15000
100026,100000008,2,3,9375,28125
100027,100000008,1,1,1875,1875
100028,100000008,1,1,1875,1875
100029,100000009,3,3,7500,22500
100030,100000009,2,1,9375,9375
100031,100000009,1,1,1875,1875
100032,100000010,3,1,7500,7500
100033,100000011,3,3,7500,22500
100034,100000011,2,1,9375,9375
100035,100000011,4,1,5625,5625
100036,100000011,5,1,1250,1250
100037,100000011,1,1,1875,1875
100038,100000012,4,2,5625,11250
100039,100000012,5,1,1250,1250
100040,100000013,4,1,5625,5625
100041,100000014,3,1,7500,7500
100042,100000014,4,1,5625,5625
100043,100000014,1,1,1875,1875
100044,100000015,3,1,7500,7500
100045,100000015,2,2,9375,18750
100046,100000015,4,1,5625,5625
100047,100000016,2,1,9375,9375
100048,100000016,4,1,5625,5625
100049,100000017,4,1,5625,5625
100050,100000018,3,2,7500,15000
100051,100000018,2,3,9375,28125
100052,100000018,4,1,5625,5625
100053,100000018,1,1,1875,1875
100054,100000019,3,1,7500,7500
100055,100000020,3,1,7500,7500
100056,100000020,4,1,5625,5625
100057,100000021,2,2,9375,18750
100058,100000021,4,1,5625,5625
100059,100000022,3,2,7500,15000
100060,100000022,2,1,9375,9375
100061,100000022,4,2,5625,11250
100062,100000022,5,1,1250,1250
100063,100000022,1,1,1875,1875
100064,100000023,4,1,5625,5625
100065,100000024,3,2,7500,15000
100066,100000024,2,2,9375,18750
100067,100000024,4,1,5625,5625
100068,100000024,5,2,1250,2500
100069,100000025,2,2,9375,18750
100070,100000025,4,1,5625,5625
100071,100000025,1,1,1875,1875
100072,100000026,2,1,9375,9375
100073,100000026,4,2,5625,11250
100074,100000027,3,1,7500,7500
100075,100000027,2,2,9375,18750
100076,100000027,4,2,5625,11250
100077,100000027,5,1,1250,1250
100078,100000027,1,1,1875,1875
100079,100000027,1,2,1875,3750
100080,100000028,4,1,5625,5625
100081,100000029,4,2,5625,11250
100082,100000030,4,1,5625,5625
100083,100000031,3,1,7500,7500
100084,100000031,4,1,5625,5625
100085,100000032,2,1,9375,9375
