ID,ORDERID,PRODUCTID,QTY,UNITPRICE,PRICE
10000,1,3,1,7500,7500
10001,2,2,1,9375,9375
10002,3,2,2,9375,18750
10003,3,4,1,5625,5625
10004,4,3,1,7500,7500
10005,4,2,2,9375,18750
10006,4,4,2,5625,11250
10007,4,1,2,1875,3750
10008,4,1,2,1875,3750
10009,5,3,3,7500,22500
10010,5,2,1,9375,9375
10011,5,4,1,5625,5625
10012,5,5,2,1250,2500
10013,5,1,1,1875,1875
10014,6,4,1,5625,5625
10015,7,3,1,7500,7500
10016,8,2,2,9375,18750
10017,9,3,2,7500,15000
10018,9,2,1,9375,9375
10019,10,4,1,5625,5625
10020,11,3,1,7500,7500
10021,11,2,1,9375,9375
10022,12,4,1,5625,5625
10023,13,2,3,9375,28125
10024,13,4,1,5625,5625
10025,13,1,1,1875,1875
10026,14,3,1,7500,7500
10027,14,2,3,9375,28125
10028,14,4,2,5625,11250
10029,14,1,1,1875,1875
10030,14,1,1,1875,1875
10031,15,3,1,7500,7500
10032,15,4,2,5625,11250
10033,15,5,1,1250,1250
10034,16,3,1,7500,7500
10035,17,3,1,7500,7500
10036,17,2,1,9375,9375
10037,17,4,1,5625,5625
10038,17,1,1,1875,1875
10039,18,3,2,7500,15000
10040,18,2,3,9375,28125
10041,18,1,1,1875,1875
10042,19,2,2,9375,18750
10043,19,4,2,5625,11250
10044,19,1,1,1875,1875
10045,20,3,1,7500,7500
10046,20,4,1,5625,5625
10047,20,5,1,1250,1250
10048,21,3,1,7500,7500
10049,21,2,2,9375,18750
10050,21,4,1,5625,5625
10051,21,5,1,1250,1250
10052,21,1,1,1875,1875
10053,22,3,1,7500,7500
10054,22,2,2,9375,18750
10055,22,4,2,5625,11250
10056,23,3,4,7500,30000
10057,23,2,2,9375,18750
10058,23,5,2,1250,2500
10059,24,2,1,9375,9375
10060,25,3,3,7500,22500
10061,25,5,1,1250,1250
10062,26,3,2,7500,15000
10063,26,2,1,9375,9375
10064,26,4,2,5625,11250
10065,26,1,1,1875,1875
10066,27,3,2,7500,15000
10067,27,2,1,9375,9375
10068,28,3,1,7500,7500
10069,29,3,1,7500,7500
10070,29,4,3,5625,16875
10071,29,1,1,1875,1875
10072,30,3,2,7500,15000
10073,30,1,1,1875,1875
10074,31,3,1,7500,7500
10075,31,2,1,9375,9375
10076,31,4,1,5625,5625
10077,32,2,2,9375,18750
10078,32,4,1,5625,5625
10079,32,1,1,1875,1875
10080,33,3,1,7500,7500
10081,34,2,1,9375,9375
10082,34,4,1,5625,5625
10083,35,3,1,7500,7500
10084,35,2,2,9375,18750
10085,35,1,1,1875,1875
10086,36,3,3,7500,22500
10087,36,2,2,9375,18750
10088,36,4,2,5625,11250
10089,36,5,2,1250,2500
10090,36,1,1,1875,1875
10091,37,3,2,7500,15000
10092,37,4,2,5625,11250
10093,38,3,1,7500,7500
10094,38,2,1,9375,9375
10095,38,4,1,5625,5625
10096,38,1,1,1875,1875
10097,39,3,1,7500,7500
10098,39,2,3,9375,28125
10099,39,4,2,5625,11250
10100,39,5,1,1250,1250
10101,39,1,1,1875,1875
10102,40,2,2,9375,18750
10103,40,4,1,5625,5625
10104,41,3,1,7500,7500
10105,41,2,1,9375,9375
10106,41,4,2,5625,11250
10107,42,3,2,7500,15000
10108,42,4,1,5625,5625
10109,43,4,1,5625,5625
10110,44,3,1,7500,7500
10111,44,2,3,9375,28125
10112,44,4,1,5625,5625
10113,44,5,1,1250,1250
10114,45,2,1,9375,9375
10115,46,2,2,9375,18750
10116,46,4,1,5625,5625
10117,47,2,1,9375,9375
10118,47,4,1,5625,5625
10119,48,3,1,7500,7500
10120,48,2,2,9375,18750
10121,48,4,1,5625,5625
10122,48,5,3,1250,3750
10123,49,3,2,7500,15000
10124,49,2,2,9375,18750
10125,49,4,1,5625,5625
10126,49,1,1,1875,1875
10127,49,1,1,1875,1875
10128,50,3,1,7500,7500
10129,50,4,1,5625,5625
10130,50,1,1,1875,1875
10131,51,3,2,7500,15000
10132,51,2,1,9375,9375
10133,51,5,1,1250,1250
10134,52,3,3,7500,22500
10135,52,2,2,9375,18750
10136,52,4,1,5625,5625
10137,52,1,2,1875,3750
10138,53,2,1,9375,9375
10139,53,4,1,5625,5625
10140,53,1,1,1875,1875
10141,54,3,3,7500,22500
10142,54,2,2,9375,18750
10143,54,4,2,5625,11250
10144,55,3,4,7500,30000
10145,55,2,2,9375,18750
10146,56,3,1,7500,7500
10147,56,2,2,9375,18750
10148,56,4,3,5625,16875
10149,56,5,1,1250,1250
10150,56,1,1,1875,1875
10151,57,3,1,7500,7500
10152,57,2,1,9375,9375
10153,58,2,1,9375,9375
10154,59,3,2,7500,15000
10155,59,2,2,9375,18750
10156,59,5,1,1250,1250
10157,59,1,2,1875,3750
10158,60,3,1,7500,7500
10159,60,2,3,9375,28125
10160,61,3,2,7500,15000
10161,61,2,1,9375,9375
10162,61,4,3,5625,16875
10163,61,1,3,1875,5625
10164,62,2,1,9375,9375
10165,62,4,1,5625,5625
10166,63,2,1,9375,9375
10167,63,4,1,5625,5625
10168,64,3,1,7500,7500
10169,64,2,3,9375,28125
10170,64,4,2,5625,11250
10171,64,1,2,1875,3750
10172,65,3,2,7500,15000
10173,65,4,1,5625,5625
10174,65,5,1,1250,1250
10175,66,3,2,7500,15000
10176,66,4,1,5625,5625
10177,66,5,1,1250,1250
10178,67,2,1,9375,9375
10179,68,3,1,7500,7500
10180,68,4,1,5625,5625
10181,69,3,1,7500,7500
10182,69,2,2,9375,18750
10183,70,3,1,7500,7500
10184,70,2,1,9375,9375
10185,71,3,1,7500,7500
10186,71,2,1,9375,9375
10187,72,3,2,7500,15000
10188,72,2,3,9375,28125
10189,72,4,3,5625,16875
10190,72,5,1,1250,1250
10191,72,1,1,1875,1875
10192,73,3,2,7500,15000
10193,73,2,2,9375,18750
10194,73,1,1,1875,1875
10195,74,4,1,5625,5625
10196,75,2,2,9375,18750
10197,76,3,1,7500,7500
10198,76,2,2,9375,18750
10199,76,5,1,1250,1250
10200,77,3,3,7500,22500
10201,77,2,3,9375,28125
10202,77,4,1,5625,5625
10203,78,2,1,9375,9375
10204,78,4,1,5625,5625
10205,79,3,1,7500,7500
10206,79,2,3,9375,28125
10207,79,1,1,1875,1875
10208,80,3,1,7500,7500
10209,81,2,1,9375,9375
10210,81,4,1,5625,5625
10211,82,3,1,7500,7500
10212,82,2,5,9375,46875
10213,82,4,2,5625,11250
10214,82,5,2,1250,2500
10215,82,1,1,1875,1875
10216,83,3,2,7500,15000
10217,84,4,2,5625,11250
10218,85,3,1,7500,7500
10219,86,3,1,7500,7500
10220,86,2,2,9375,18750
10221,86,4,2,5625,11250
10222,86,5,1,1250,1250
10223,86,1,1,1875,1875
10224,86,1,1,1875,1875
10225,87,4,1,5625,5625
10226,88,3,1,7500,7500
10227,89,3,2,7500,15000
10228,89,2,2,9375,18750
10229,89,4,3,5625,16875
10230,89,5,1,1250,1250
10231,89,1,1,1875,1875
10232,90,2,3,9375,28125
10233,90,1,1,1875,1875
10234,91,3,1,7500,7500
10235,91,2,1,9375,9375
10236,91,4,3,5625,16875
10237,91,1,1,1875,1875
10238,92,4,1,5625,5625
10239,93,3,1,7500,7500
10240,93,2,2,9375,18750
10241,93,1,1,1875,1875
10242,94,2,1,9375,9375
10243,95,3,3,7500,22500
10244,95,2,3,9375,28125
10245,95,4,2,5625,11250
10246,96,2,2,9375,18750
10247,96,4,3,5625,16875
10248,96,5,1,1250,1250
10249,96,1,1,1875,1875
10250,97,3,1,7500,7500
10251,97,2,2,9375,18750
10252,97,4,2,5625,11250
10253,97,5,1,1250,1250
10254,97,1,2,1875,3750
10255,97,1,1,1875,1875
10256,98,3,1,7500,7500
10257,98,2,1,9375,9375
10258,98,4,1,5625,5625
10259,98,1,1,1875,1875
10260,99,4,3,5625,16875
10261,99,5,1,1250,1250
10262,100,2,2,9375,18750
10263,100,4,3,5625,16875
10264,100,1,1,1875,1875
10265,101,3,2,7500,15000
10266,101,2,1,9375,9375
10267,101,1,1,1875,1875
10268,102,3,1,7500,7500
10269,102,2,1,9375,9375
10270,102,4,3,5625,16875
10271,102,5,2,1250,2500
10272,102,1,1,1875,1875
10273,103,3,3,7500,22500
10274,103,2,2,9375,18750
10275,103,4,2,5625,11250
10276,103,5,1,1250,1250
10277,103,1,3,1875,5625
10278,104,2,3,9375,28125
10279,104,4,1,5625,5625
10280,105,2,1,9375,9375
10281,106,3,3,7500,22500
10282,106,2,1,9375,9375
10283,106,4,3,5625,16875
10284,107,2,1,9375,9375
10285,108,4,1,5625,5625
10286,109,2,1,9375,9375
10287,109,4,3,5625,16875
10288,110,3,1,7500,7500
10289,110,2,1,9375,9375
10290,110,4,2,5625,11250
10291,111,3,1,7500,7500
10292,111,2,1,9375,9375
10293,111,4,1,5625,5625
10294,112,3,3,7500,22500
10295,112,2,2,9375,18750
10296,112,4,3,5625,16875
10297,112,1,2,1875,3750
10298,113,2,1,9375,9375
10299,113,4,2,5625,11250
10300,113,5,1,1250,1250
10301,113,1,2,1875,3750
10302,114,3,2,7500,15000
10303,115,3,2,7500,15000
10304,115,2,3,9375,28125
10305,115,4,2,5625,11250
10306,116,3,1,7500,7500
10307,116,4,2,5625,11250
10308,117,3,3,7500,22500
10309,117,2,2,9375,18750
10310,117,4,2,5625,11250
10311,117,5,2,1250,2500
10312,117,1,1,1875,1875
10313,118,3,1,7500,7500
10314,118,2,3,9375,28125
10315,118,4,1,5625,5625
10316,118,5,1,1250,1250
10317,119,3,2,7500,15000
10318,119,2,3,9375,28125
10319,119,4,1,5625,5625
10320,119,5,2,1250,2500
10321,119,1,1,1875,1875
10322,119,1,1,1875,1875
10323,120,3,1,7500,7500
10324,120,4,1,5625,5625
10325,120,5,1,1250,1250
10326,121,3,1,7500,7500
10327,121,2,3,9375,28125
10328,121,4,1,5625,5625
10329,121,5,1,1250,1250
10330,121,1,2,1875,3750
10331,121,1,1,1875,1875
10332,122,3,1,7500,7500
10333,122,2,2,9375,18750
10334,122,4,1,5625,5625
10335,122,1,1,1875,1875
10336,123,3,2,7500,15000
10337,123,2,3,9375,28125
10338,123,4,2,5625,11250
10339,124,3,1,7500,7500
10340,124,2,1,9375,9375
10341,124,1,1,1875,1875
10342,125,2,1,9375,9375
10343,126,2,1,9375,9375
10344,127,3,1,7500,7500
10345,127,2,2,9375,18750
10346,127,4,3,5625,16875
10347,127,1,1,1875,1875
10348,128,3,1,7500,7500
10349,129,3,1,7500,7500
10350,129,2,2,9375,18750
10351,129,4,1,5625,5625
10352,129,5,1,1250,1250
10353,129,1,1,1875,1875
10354,130,3,1,7500,7500
10355,131,3,1,7500,7500
10356,132,3,2,7500,15000
10357,132,2,1,9375,9375
10358,132,4,2,5625,11250
10359,133,2,1,9375,9375
10360,134,2,1,9375,9375
10361,135,3,1,7500,7500
10362,135,4,1,5625,5625
10363,136,4,2,5625,11250
10364,137,2,3,9375,28125
10365,137,4,3,5625,16875
10366,137,1,1,1875,1875
10367,138,3,2,7500,15000
10368,138,2,2,9375,18750
10369,138,4,2,5625,11250
10370,138,1,1,1875,1875
10371,139,3,2,7500,15000
10372,139,2,1,9375,9375
10373,139,5,1,1250,1250
