"id","orderid","productid","qty","unitprice","price"
70414604,1,3,1,7500,7500
70414605,2,2,1,9375,9375
70414606,3,2,2,9375,18750
70414607,3,4,1,5625,5625
70414608,4,3,1,7500,7500
70414609,4,2,2,9375,18750
70414610,4,4,2,5625,11250
70414611,4,1,2,1875,3750
70414612,4,1,2,1875,3750
70414613,5,3,3,7500,22500
70414614,5,2,1,9375,9375
70414615,5,4,1,5625,5625
70414616,5,5,2,1250,2500
70414617,5,1,1,1875,1875
70414618,6,4,1,5625,5625
70414619,7,3,1,7500,7500
70414620,8,2,2,9375,18750
70414621,9,3,2,7500,15000
70414622,9,2,1,9375,9375
70414623,10,4,1,5625,5625
70414624,11,3,1,7500,7500
70414625,11,2,1,9375,9375
70414626,12,4,1,5625,5625
70414627,13,2,3,9375,28125
70414628,13,4,1,5625,5625
70414629,13,1,1,1875,1875
70414630,14,3,1,7500,7500
70414631,14,2,3,9375,28125
70414632,14,4,2,5625,11250
70414633,14,1,1,1875,1875
70414634,14,1,1,1875,1875
70414635,15,3,1,7500,7500
70414636,15,4,2,5625,11250
70414637,15,5,1,1250,1250
70414638,16,3,1,7500,7500
70414639,17,3,1,7500,7500
70414640,17,2,1,9375,9375
70414641,17,4,1,5625,5625
70414642,17,1,1,1875,1875
70414643,18,3,2,7500,15000
70414644,18,2,3,9375,28125
70414645,18,1,1,1875,1875
70414646,19,2,2,9375,18750
70414647,19,4,2,5625,11250
70414648,19,1,1,1875,1875
70414649,20,3,1,7500,7500
70414650,20,4,1,5625,5625
70414651,20,5,1,1250,1250
70414652,21,3,1,7500,7500
70414653,21,2,2,9375,18750
70414654,21,4,1,5625,5625
70414655,21,5,1,1250,1250
70414656,21,1,1,1875,1875
70414657,22,3,1,7500,7500
70414658,22,2,2,9375,18750
70414659,22,4,2,5625,11250
70414660,23,3,4,7500,30000
70414661,23,2,2,9375,18750
70414662,23,5,2,1250,2500
70414663,24,2,1,9375,9375
70414664,25,3,3,7500,22500
70414665,25,5,1,1250,1250
70414666,26,3,2,7500,15000
70414667,26,2,1,9375,9375
70414668,26,4,2,5625,11250
70414669,26,1,1,1875,1875
70414670,27,3,2,7500,15000
70414671,27,2,1,9375,9375
70414672,28,3,1,7500,7500
70414673,29,3,1,7500,7500
70414674,29,4,3,5625,16875
70414675,29,1,1,1875,1875
70414676,30,3,2,7500,15000
70414677,30,1,1,1875,1875
70414678,31,3,1,7500,7500
70414679,31,2,1,9375,9375
70414680,31,4,1,5625,5625
70414681,32,2,2,9375,18750
70414682,32,4,1,5625,5625
70414683,32,1,1,1875,1875
70414684,33,3,1,7500,7500
70414685,34,2,1,9375,9375
70414686,34,4,1,5625,5625
70414687,35,3,1,7500,7500
70414688,35,2,2,9375,18750
70414689,35,1,1,1875,1875
70414690,36,3,3,7500,22500
70414691,36,2,2,9375,18750
70414692,36,4,2,5625,11250
70414693,36,5,2,1250,2500
70414694,36,1,1,1875,1875
70414695,37,3,2,7500,15000
70414696,37,4,2,5625,11250
70414697,38,3,1,7500,7500
70414698,38,2,1,9375,9375
70414699,38,4,1,5625,5625
70414700,38,1,1,1875,1875
70414701,39,3,1,7500,7500
70414702,39,2,3,9375,28125
70414703,39,4,2,5625,11250
70414704,39,5,1,1250,1250
70414705,39,1,1,1875,1875
70414706,40,2,2,9375,18750
70414707,40,4,1,5625,5625
70414708,41,3,1,7500,7500
70414709,41,2,1,9375,9375
70414710,41,4,2,5625,11250
70414711,42,3,2,7500,15000
70414712,42,4,1,5625,5625
70414713,43,4,1,5625,5625
70414714,44,3,1,7500,7500
70414715,44,2,3,9375,28125
70414716,44,4,1,5625,5625
70414717,44,5,1,1250,1250
70414718,45,2,1,9375,9375
70414719,46,2,2,9375,18750
70414720,46,4,1,5625,5625
70414721,47,2,1,9375,9375
70414722,47,4,1,5625,5625
70414723,48,3,1,7500,7500
70414724,48,2,2,9375,18750
70414725,48,4,1,5625,5625
70414726,48,5,3,1250,3750
70414727,49,3,2,7500,15000
70414728,49,2,2,9375,18750
70414729,49,4,1,5625,5625
70414730,49,1,1,1875,1875
70414731,49,1,1,1875,1875
70414732,50,3,1,7500,7500
70414733,50,4,1,5625,5625
70414734,50,1,1,1875,1875
70414735,51,3,2,7500,15000
70414736,51,2,1,9375,9375
70414737,51,5,1,1250,1250
70414738,52,3,3,7500,22500
70414739,52,2,2,9375,18750
70414740,52,4,1,5625,5625
70414741,52,1,2,1875,3750
70414742,53,2,1,9375,9375
70414743,53,4,1,5625,5625
70414744,53,1,1,1875,1875
70414745,54,3,3,7500,22500
70414746,54,2,2,9375,18750
70414747,54,4,2,5625,11250
70414748,55,3,4,7500,30000
70414749,55,2,2,9375,18750
70414750,56,3,1,7500,7500
70414751,56,2,2,9375,18750
70414752,56,4,3,5625,16875
70414753,56,5,1,1250,1250
70414754,56,1,1,1875,1875
70414755,57,3,1,7500,7500
70414756,57,2,1,9375,9375
70414757,58,2,1,9375,9375
70414758,59,3,2,7500,15000
70414759,59,2,2,9375,18750
70414760,59,5,1,1250,1250
70414761,59,1,2,1875,3750
70414762,60,3,1,7500,7500
70414763,60,2,3,9375,28125
70414764,61,3,2,7500,15000
70414765,61,2,1,9375,9375
70414766,61,4,3,5625,16875
70414767,61,1,3,1875,5625
70414768,62,2,1,9375,9375
70414769,62,4,1,5625,5625
70414770,63,2,1,9375,9375
70414771,63,4,1,5625,5625
70414772,64,3,1,7500,7500
70414773,64,2,3,9375,28125
70414774,64,4,2,5625,11250
70414775,64,1,2,1875,3750
70414776,65,3,2,7500,15000
70414777,65,4,1,5625,5625
70414778,65,5,1,1250,1250
70414779,66,3,2,7500,15000
70414780,66,4,1,5625,5625
70414781,66,5,1,1250,1250
70414782,67,2,1,9375,9375
70414783,68,3,1,7500,7500
70414784,68,4,1,5625,5625
70414785,69,3,1,7500,7500
70414786,69,2,2,9375,18750
70414787,70,3,1,7500,7500
70414788,70,2,1,9375,9375
70414789,71,3,1,7500,7500
70414790,71,2,1,9375,9375
70414791,72,3,2,7500,15000
70414792,72,2,3,9375,28125
70414793,72,4,3,5625,16875
70414794,72,5,1,1250,1250
70414795,72,1,1,1875,1875
70414796,73,3,2,7500,15000
70414797,73,2,2,9375,18750
70414798,73,1,1,1875,1875
